discipline	Toutes les disciplines
discipline:1061:1161:1357	Anatomie	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1161:1359	Anatomie pathologique	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1161:1369	Biochimie en médecine	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1161:1371	Biologie en médecine	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1161:1375	Chimie en médecine	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1161:1407	Santé publique, environnement et société	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1161:1427	Histologie, embryologie, cytogénétique	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1161:1429	Immunologie fondamentale	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1161:1449	Microbiologie	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1161:1471	Physiologie	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1365	Pédagogie, formations et métiers en médecine	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1365:1367	Apprentissage en médecine	https://w3id.org/kim/hochschulfaechersystematik/n49	
discipline:1061:1365:1397	Didactique médicale	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1365:1507	TICE en médecine	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1399	Sciences du sport	https://w3id.org/kim/hochschulfaechersystematik/n22
discipline:1061:1399:1401	Disciplines sportives	https://w3id.org/kim/hochschulfaechersystematik/n29
discipline:1061:1399:1409	Economie du sport	https://w3id.org/kim/hochschulfaechersystematik/n29
discipline:1061:1399:1425	Histoire du sport	https://w3id.org/kim/hochschulfaechersystematik/n29
discipline:1061:1399:1467	Pédagogie, éducation physique et sportive	https://w3id.org/kim/hochschulfaechersystematik/n098
discipline:1061:1399:1475	Pratique du sport	https://w3id.org/kim/hochschulfaechersystematik/n29
discipline:1061:1399:1501	Sociologie du sport	https://w3id.org/kim/hochschulfaechersystematik/n029
discipline:1061:1495	Sémiologie
discipline:1061:1495:1497	Sémiologie de l'imagerie médicale
discipline:1061:1495:1499	Sémiologie quantitative
discipline:1069	Environnement et développement durable	hhttps://w3id.org/kim/hochschulfaechersystematik/n385
discipline:1069:1021	Ecologie, écosystèmes et biodiversité	https://w3id.org/kim/hochschulfaechersystematik/n385
discipline:1069:1021:1023	Biodiversité	https://w3id.org/kim/hochschulfaechersystematik/n385
discipline:1069:1021:1809	Dynamique des milieux naturels	https://w3id.org/kim/hochschulfaechersystematik/n385
discipline:1069:1021:1817	Ecosystèmes aquatiques continentaux	https://w3id.org/kim/hochschulfaechersystematik/n385
discipline:1069:1021:1819	Ecosystèmes marins	https://w3id.org/kim/hochschulfaechersystematik/n385
discipline:1069:1021:1821	Ecosystèmes terrestres	hhttps://w3id.org/kim/hochschulfaechersystematik/n385
discipline:1069:1189	Technologies environnementales	https://w3id.org/kim/hochschulfaechersystematik/n457
discipline:1069:1189:1811	Eco-conception	https://w3id.org/kim/hochschulfaechersystematik/n457
discipline:1069:1189:1813	Eco-construction et énergie renouvelable	https://w3id.org/kim/hochschulfaechersystematik/n457
discipline:1069:1189:1815	Eco-technologie	https://w3id.org/kim/hochschulfaechersystematik/n457
discipline:1069:1189:1839	Ingénierie de l’environnement	https://w3id.org/kim/hochschulfaechersystematik/n457
discipline:1069:1329	Protection de l'environnement	https://w3id.org/kim/hochschulfaechersystematik/n458
discipline:1069:1329:1831	Gestion des ressources naturelles et des déchets	https://w3id.org/kim/hochschulfaechersystematik/n458
discipline:1069:1329:1833	Gestion et aménagement des territoires	https://w3id.org/kim/hochschulfaechersystematik/n458
discipline:1069:1329:1845	Protection des milieux et des espèces	https://w3id.org/kim/hochschulfaechersystematik/n458
discipline:1069:1787	Politiques et actions pour l'environnement	https://w3id.org/kim/hochschulfaechersystematik/n458
discipline:1069:1787:1789	Actions locales	https://w3id.org/kim/hochschulfaechersystematik/n458
discipline:1069:1787:1791	Actions nationales	https://w3id.org/kim/hochschulfaechersystematik/n458
discipline:1069:1787:1805	Développement durable	https://w3id.org/kim/hochschulfaechersystematik/n458
